Jahr,Beschaeftigungsverhaeltnis,Geschlecht,Wert
2022-01-01T00:00:00.000Z,Sonstiges Personal für Lehre und Forschung,männlich,
2022-01-01T00:00:00.000Z,"Gastprofessoren, Emeriti",weiblich,313.0
2022-01-01T00:00:00.000Z,Wissenschaftliche und künstlerische Mitarbeiter,weiblich,95276.0
2023-01-01T00:00:00.000Z,Wissenschaftliche und künstlerische Mitarbeiter,weiblich,97791.0
2023-01-01T00:00:00.000Z,Arbeiter,weiblich,
2023-01-01T00:00:00.000Z,"Verwaltungs-, technisches und sonstiges Personal",männlich,107730.0
2022-01-01T00:00:00.000Z,"Verwaltungs-, technisches und sonstiges Personal",weiblich,253839.0
2019-01-01T00:00:00.000Z,Wissenschaftliches und künstlerisches Personal,weiblich,161207.0
2023-01-01T00:00:00.000Z,"Verwaltungs-, technisches und sonstiges Personal",weiblich,258824.0
2019-01-01T00:00:00.000Z,"Verwaltungs-, technisches und sonstiges Personal",männlich,97202.0
2020-01-01T00:00:00.000Z,Wissenschaftliches und künstlerisches Personal,männlich,247720.0
2019-01-01T00:00:00.000Z,Wissenschaftliches und künstlerisches Personal,männlich,245452.0
2023-01-01T00:00:00.000Z,Wissenschaftliches und künstlerisches Personal,weiblich,178330.0
2022-01-01T00:00:00.000Z,"Verwaltungs-, technisches und sonstiges Personal",männlich,105241.0
2021-01-01T00:00:00.000Z,Wissenschaftliches und künstlerisches Personal,männlich,252026.0
2022-01-01T00:00:00.000Z,Wissenschaftliches und künstlerisches Personal,weiblich,178161.0
2021-01-01T00:00:00.000Z,Wissenschaftliches und künstlerisches Personal,weiblich,175672.0
2022-01-01T00:00:00.000Z,Wissenschaftliches und künstlerisches Personal,männlich,250296.0
2021-01-01T00:00:00.000Z,"Verwaltungs-, technisches und sonstiges Personal",männlich,103259.0
2020-01-01T00:00:00.000Z,"Verwaltungs-, technisches und sonstiges Personal",männlich,100320.0
2021-01-01T00:00:00.000Z,"Verwaltungs-, technisches und sonstiges Personal",weiblich,250225.0
2023-01-01T00:00:00.000Z,Wissenschaftliches und künstlerisches Personal,männlich,247421.0
2020-01-01T00:00:00.000Z,Wissenschaftliches und künstlerisches Personal,weiblich,167112.0
2020-01-01T00:00:00.000Z,"Verwaltungs-, technisches und sonstiges Personal",weiblich,243913.0
2019-01-01T00:00:00.000Z,"Verwaltungs-, technisches und sonstiges Personal",weiblich,233901.0
2020-01-01T00:00:00.000Z,"Nebenberufl. Verwaltungs-, techn. u.sonst.Personal",weiblich,3494.0
2021-01-01T00:00:00.000Z,Nebenberufl. wissenschaftl. u. künstler. Personal,männlich,90521.0
2022-01-01T00:00:00.000Z,Hauptberufl. wissenschaftl. u. künstler. Personal,weiblich,117180.0
2020-01-01T00:00:00.000Z,"Hauptberufl. Verwaltungs-, techn. u.sonst.Personal",männlich,98247.0
2021-01-01T00:00:00.000Z,Nebenberufl. wissenschaftl. u. künstler. Personal,weiblich,61578.0
2020-01-01T00:00:00.000Z,"Hauptberufl. Verwaltungs-, techn. u.sonst.Personal",weiblich,240419.0
2020-01-01T00:00:00.000Z,"Nebenberufl. Verwaltungs-, techn. u.sonst.Personal",männlich,2073.0
2021-01-01T00:00:00.000Z,Hauptberufl. wissenschaftl. u. künstler. Personal,männlich,161505.0
