Jahr,Bundesland,Hochschulart,Faechergruppe,Wert_EUR
2020-01-01T00:00:00.000Z,Saarland,Universitäten (ohne Medizinische Einrichtungen),Sport,1719000.0
2021-01-01T00:00:00.000Z,Bayern,Verwaltungsfachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2019-01-01T00:00:00.000Z,Sachsen,Kunsthochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2020-01-01T00:00:00.000Z,Hamburg,Kunsthochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2021-01-01T00:00:00.000Z,Sachsen,Fachhochschulen,Ingenieurwissenschaften,1.23807E8
2021-01-01T00:00:00.000Z,Thüringen,Fachhochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",2.97665E8
2020-01-01T00:00:00.000Z,Hessen,Fachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",3.0074E7
2019-01-01T00:00:00.000Z,Sachsen-Anhalt,Fachhochschulen,Geisteswissenschaften,88000.0
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Fachhochschulen,"Mathematik, Naturwissenschaften",5988000.0
2022-01-01T00:00:00.000Z,Nordrhein-Westfalen,Universitäten (ohne Medizinische Einrichtungen),"Mathematik, Naturwissenschaften",1.044763E9
2021-01-01T00:00:00.000Z,Saarland,Verwaltungsfachhochschulen,Humanmedizin/Gesundheitswissenschaften,
2019-01-01T00:00:00.000Z,Hamburg,Medizinische Einrichtungen der Universitäten,"Mathematik, Naturwissenschaften",
2022-01-01T00:00:00.000Z,Hamburg,Verwaltungsfachhochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",7448000.0
2022-01-01T00:00:00.000Z,Sachsen-Anhalt,Fachhochschulen,Ingenieurwissenschaften,5.5371E7
2019-01-01T00:00:00.000Z,Thüringen,Medizinische Einrichtungen der Universitäten,Geisteswissenschaften,
2021-01-01T00:00:00.000Z,Bremen,Theologische Hochschulen,"Mathematik, Naturwissenschaften",
2022-01-01T00:00:00.000Z,Hamburg,Kunsthochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2021-01-01T00:00:00.000Z,Baden-Württemberg,Universitäten (ohne Medizinische Einrichtungen),Zentr.Einrichtungen (o. klinikspez. Einrichtungen),1.081292E9
2021-01-01T00:00:00.000Z,Schleswig-Holstein,Medizinische Einrichtungen der Universitäten,Humanmedizin/Gesundheitswissenschaften,1.785141E9
2020-01-01T00:00:00.000Z,Saarland,Fachhochschulen,"Mathematik, Naturwissenschaften",
2021-01-01T00:00:00.000Z,Rheinland-Pfalz,Fachhochschulen,Humanmedizin/Gesundheitswissenschaften,4805000.0
2022-01-01T00:00:00.000Z,Bremen,Medizinische Einrichtungen der Universitäten,Ingenieurwissenschaften,
2020-01-01T00:00:00.000Z,Baden-Württemberg,Universitäten (ohne Medizinische Einrichtungen),Zentr.Einrichtungen (o. klinikspez. Einrichtungen),1.092115E9
2022-01-01T00:00:00.000Z,Hamburg,Kunsthochschulen,Humanmedizin/Gesundheitswissenschaften,
2020-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Pädagogische Hochschulen,Sport,
2021-01-01T00:00:00.000Z,Berlin,Fachhochschulen,Sport,2893000.0
2022-01-01T00:00:00.000Z,Berlin,Theologische Hochschulen,"Mathematik, Naturwissenschaften",
2019-01-01T00:00:00.000Z,Nordrhein-Westfalen,Medizinische Einrichtungen der Universitäten,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2019-01-01T00:00:00.000Z,Baden-Württemberg,Kunsthochschulen,Humanmedizin/Gesundheitswissenschaften,
2021-01-01T00:00:00.000Z,Bremen,Pädagogische Hochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),
2021-01-01T00:00:00.000Z,Schleswig-Holstein,Fachhochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",3.7436E7
2022-01-01T00:00:00.000Z,Saarland,Theologische Hochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2021-01-01T00:00:00.000Z,Rheinland-Pfalz,Universitäten (ohne Medizinische Einrichtungen),Zentr.Einrichtungen (o. klinikspez. Einrichtungen),2.84919E8
2020-01-01T00:00:00.000Z,Baden-Württemberg,Theologische Hochschulen,Ingenieurwissenschaften,
2020-01-01T00:00:00.000Z,Sachsen,Fachhochschulen,"Kunst, Kunstwissenschaft",7177000.0
2019-01-01T00:00:00.000Z,Saarland,Theologische Hochschulen,Geisteswissenschaften,
2020-01-01T00:00:00.000Z,Brandenburg,Verwaltungsfachhochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2021-01-01T00:00:00.000Z,Thüringen,Kunsthochschulen,Ingenieurwissenschaften,
2020-01-01T00:00:00.000Z,Hessen,Kunsthochschulen,Sport,
2020-01-01T00:00:00.000Z,Baden-Württemberg,Verwaltungsfachhochschulen,"Kunst, Kunstwissenschaft",
2022-01-01T00:00:00.000Z,Hamburg,Pädagogische Hochschulen,Sport,
2020-01-01T00:00:00.000Z,Brandenburg,Pädagogische Hochschulen,Sport,
2022-01-01T00:00:00.000Z,Saarland,Medizinische Einrichtungen der Universitäten,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),
2019-01-01T00:00:00.000Z,Brandenburg,Universitäten (ohne Medizinische Einrichtungen),Humanmedizin/Gesundheitswissenschaften,
2022-01-01T00:00:00.000Z,Berlin,Fachhochschulen,Sport,2557000.0
2022-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Universitäten (ohne Medizinische Einrichtungen),"Mathematik, Naturwissenschaften",9.6789E7
2019-01-01T00:00:00.000Z,Hamburg,Verwaltungsfachhochschulen,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),2813000.0
2021-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Universitäten (ohne Medizinische Einrichtungen),Geisteswissenschaften,2.4531E7
2019-01-01T00:00:00.000Z,Thüringen,Kunsthochschulen,Geisteswissenschaften,
2019-01-01T00:00:00.000Z,Thüringen,Theologische Hochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2021-01-01T00:00:00.000Z,Hamburg,Pädagogische Hochschulen,Sport,
2021-01-01T00:00:00.000Z,Brandenburg,Theologische Hochschulen,"Kunst, Kunstwissenschaft",
2019-01-01T00:00:00.000Z,Saarland,Kunsthochschulen,Humanmedizin/Gesundheitswissenschaften,
2020-01-01T00:00:00.000Z,Niedersachsen,Kunsthochschulen,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",
2019-01-01T00:00:00.000Z,Schleswig-Holstein,Theologische Hochschulen,"Rechts-, Wirtschafts- und Sozialwissenschaften",
2022-01-01T00:00:00.000Z,Mecklenburg-Vorpommern,Medizinische Einrichtungen der Universitäten,"Kunst, Kunstwissenschaft",
2019-01-01T00:00:00.000Z,Bayern,Verwaltungsfachhochschulen,Sport,
